time_s,frame_id,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,battery_percent,mission_state,planned_x_m,planned_y_m,planned_z_m,path_deviation_m,safety_status,severity,recommended_action,supervisor_mode,active_response,response_reason,detail
12.0,local_enu,10.0,0.0,20.0,5.0,0.0,0.0,98.98,WAYPOINT_1,10.0,0.0,20.0,0.0,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
13.0,local_enu,15.0,0.0,20.0,5.0,0.0,0.0,98.87,WAYPOINT_1,15.0,0.0,20.0,0.0,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
13.97,local_enu,17.5,3.33,22.5,2.57,3.43,2.57,98.76,WAYPOINT_2,17.5,3.33,22.5,0.0,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
14.94,local_enu,20.0,6.67,25.0,2.57,3.43,2.57,98.65,WAYPOINT_2,20.0,6.67,25.0,0.0,ALTITUDE_WARNING,WARNING,WARNING,WARNING_ACTIVE,MONITOR,ALTITUDE_WARNING,Altitude 25.0 m is within 5.0 m of limit
15.92,local_enu,22.5,10.0,27.5,2.57,3.43,2.57,98.53,WAYPOINT_2,22.5,10.0,27.5,0.0,ALTITUDE_WARNING,WARNING,WARNING,WARNING_ACTIVE,MONITOR,ALTITUDE_WARNING,Altitude 27.5 m is within 5.0 m of limit
16.89,local_enu,25.0,13.33,30.0,2.57,3.43,2.57,98.42,WAYPOINT_2,25.0,13.33,30.0,0.0,ALTITUDE_WARNING,WARNING,WARNING,WARNING_ACTIVE,MONITOR,ALTITUDE_WARNING,Altitude 30.0 m is within 5.0 m of limit
17.86,local_enu,27.5,16.67,32.5,2.57,3.43,2.57,98.31,WAYPOINT_2,27.5,16.67,32.5,0.0,ALTITUDE_LIMIT_VIOLATION,CRITICAL,LAND,LANDING,LAND,ALTITUDE_LIMIT_VIOLATION,Altitude 32.5 m exceeds 30.0 m
18.82,local_enu,27.5,16.67,30.59,0.0,0.0,-2.0,98.23,RESPONSE_LANDING,,,,,ALTITUDE_LIMIT_VIOLATION,CRITICAL,LAND,LANDING,LAND,ALTITUDE_LIMIT_VIOLATION,Altitude 30.6 m exceeds 30.0 m
19.77,local_enu,27.5,16.67,28.68,0.0,0.0,-2.0,98.16,RESPONSE_LANDING,,,,,ALTITUDE_WARNING,WARNING,WARNING,LANDING,LAND,ALTITUDE_LIMIT_VIOLATION,Altitude 28.7 m is within 5.0 m of limit
20.73,local_enu,27.5,16.67,26.76,0.0,0.0,-2.0,98.08,RESPONSE_LANDING,,,,,ALTITUDE_WARNING,WARNING,WARNING,LANDING,LAND,ALTITUDE_LIMIT_VIOLATION,Altitude 26.8 m is within 5.0 m of limit
21.68,local_enu,27.5,16.67,24.85,0.0,0.0,-2.0,98.01,RESPONSE_LANDING,,,,,SAFE,INFO,CONTINUE,LANDING,LAND,ALTITUDE_LIMIT_VIOLATION,All monitored constraints satisfied
22.64,local_enu,27.5,16.67,22.94,0.0,0.0,-2.0,97.93,RESPONSE_LANDING,,,,,SAFE,INFO,CONTINUE,LANDING,LAND,ALTITUDE_LIMIT_VIOLATION,All monitored constraints satisfied
23.6,local_enu,27.5,16.67,21.03,0.0,0.0,-2.0,97.86,RESPONSE_LANDING,,,,,SAFE,INFO,CONTINUE,LANDING,LAND,ALTITUDE_LIMIT_VIOLATION,All monitored constraints satisfied
24.55,local_enu,27.5,16.67,19.12,0.0,0.0,-2.0,97.78,RESPONSE_LANDING,,,,,SAFE,INFO,CONTINUE,LANDING,LAND,ALTITUDE_LIMIT_VIOLATION,All monitored constraints satisfied
25.51,local_enu,27.5,16.67,17.21,0.0,0.0,-2.0,97.71,RESPONSE_LANDING,,,,,SAFE,INFO,CONTINUE,LANDING,LAND,ALTITUDE_LIMIT_VIOLATION,All monitored constraints satisfied
26.46,local_enu,27.5,16.67,15.29,0.0,0.0,-2.0,97.63,RESPONSE_LANDING,,,,,SAFE,INFO,CONTINUE,LANDING,LAND,ALTITUDE_LIMIT_VIOLATION,All monitored constraints satisfied
27.42,local_enu,27.5,16.67,13.38,0.0,0.0,-2.0,97.55,RESPONSE_LANDING,,,,,SAFE,INFO,CONTINUE,LANDING,LAND,ALTITUDE_LIMIT_VIOLATION,All monitored constraints satisfied
28.37,local_enu,27.5,16.67,11.47,0.0,0.0,-2.0,97.48,RESPONSE_LANDING,,,,,SAFE,INFO,CONTINUE,LANDING,LAND,ALTITUDE_LIMIT_VIOLATION,All monitored constraints satisfied
29.33,local_enu,27.5,16.67,9.56,0.0,0.0,-2.0,97.4,RESPONSE_LANDING,,,,,SAFE,INFO,CONTINUE,LANDING,LAND,ALTITUDE_LIMIT_VIOLATION,All monitored constraints satisfied
30.29,local_enu,27.5,16.67,7.65,0.0,0.0,-2.0,97.33,RESPONSE_LANDING,,,,,SAFE,INFO,CONTINUE,LANDING,LAND,ALTITUDE_LIMIT_VIOLATION,All monitored constraints satisfied
31.24,local_enu,27.5,16.67,5.74,0.0,0.0,-2.0,97.25,RESPONSE_LANDING,,,,,SAFE,INFO,CONTINUE,LANDING,LAND,ALTITUDE_LIMIT_VIOLATION,All monitored constraints satisfied
32.2,local_enu,27.5,16.67,3.82,0.0,0.0,-2.0,97.18,RESPONSE_LANDING,,,,,SAFE,INFO,CONTINUE,LANDING,LAND,ALTITUDE_LIMIT_VIOLATION,All monitored constraints satisfied
33.15,local_enu,27.5,16.67,1.91,0.0,0.0,-2.0,97.1,RESPONSE_LANDING,,,,,SAFE,INFO,CONTINUE,LANDING,LAND,ALTITUDE_LIMIT_VIOLATION,All monitored constraints satisfied
34.11,local_enu,27.5,16.67,0.0,0.0,0.0,-2.0,97.03,RESPONSE_LANDING,,,,,SAFE,INFO,CONTINUE,LANDING,LAND,ALTITUDE_LIMIT_VIOLATION,All monitored constraints satisfied
35.11,local_enu,27.5,16.67,0.0,0.0,0.0,0.0,97.03,RESPONSE_COMPLETE,,,,,SAFE,INFO,CONTINUE,RESPONSE_COMPLETE,NONE,Supervisor response completed,All monitored constraints satisfied
