time_s,frame_id,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,battery_percent,mission_state,safety_status,severity,recommended_action,supervisor_mode,active_response,response_reason,detail
26.05,local_enu,23.23,3.54,20.0,-4.94,-0.75,0.0,97.36,RESPONSE_RETURN_HOME,SAFE,INFO,CONTINUE,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,All monitored constraints satisfied
26.99,local_enu,18.59,2.83,20.0,-4.94,-0.75,0.0,97.25,RESPONSE_RETURN_HOME,SAFE,INFO,CONTINUE,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,All monitored constraints satisfied
27.93,local_enu,13.94,2.12,20.0,-4.94,-0.75,0.0,97.15,RESPONSE_RETURN_HOME,SAFE,INFO,CONTINUE,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,All monitored constraints satisfied
28.87,local_enu,9.29,1.41,20.0,-4.94,-0.75,0.0,97.04,RESPONSE_RETURN_HOME,SAFE,INFO,CONTINUE,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,All monitored constraints satisfied
29.81,local_enu,4.65,0.71,20.0,-4.94,-0.75,0.0,96.93,RESPONSE_RETURN_HOME,SAFE,INFO,CONTINUE,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,All monitored constraints satisfied
30.75,local_enu,0.0,0.0,20.0,-4.94,-0.75,0.0,96.82,RESPONSE_RETURN_HOME,SAFE,INFO,CONTINUE,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,All monitored constraints satisfied
31.75,local_enu,0.0,0.0,18.0,0.0,0.0,-2.0,96.74,RESPONSE_LANDING,SAFE,INFO,CONTINUE,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,All monitored constraints satisfied
32.75,local_enu,0.0,0.0,16.0,0.0,0.0,-2.0,96.66,RESPONSE_LANDING,SAFE,INFO,CONTINUE,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,All monitored constraints satisfied
33.75,local_enu,0.0,0.0,14.0,0.0,0.0,-2.0,96.58,RESPONSE_LANDING,SAFE,INFO,CONTINUE,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,All monitored constraints satisfied
34.75,local_enu,0.0,0.0,12.0,0.0,0.0,-2.0,96.5,RESPONSE_LANDING,SAFE,INFO,CONTINUE,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,All monitored constraints satisfied
35.75,local_enu,0.0,0.0,10.0,0.0,0.0,-2.0,96.43,RESPONSE_LANDING,SAFE,INFO,CONTINUE,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,All monitored constraints satisfied
36.75,local_enu,0.0,0.0,8.0,0.0,0.0,-2.0,96.35,RESPONSE_LANDING,SAFE,INFO,CONTINUE,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,All monitored constraints satisfied
37.75,local_enu,0.0,0.0,6.0,0.0,0.0,-2.0,96.27,RESPONSE_LANDING,SAFE,INFO,CONTINUE,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,All monitored constraints satisfied
38.75,local_enu,0.0,0.0,4.0,0.0,0.0,-2.0,96.19,RESPONSE_LANDING,SAFE,INFO,CONTINUE,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,All monitored constraints satisfied
39.75,local_enu,0.0,0.0,2.0,0.0,0.0,-2.0,96.11,RESPONSE_LANDING,SAFE,INFO,CONTINUE,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,All monitored constraints satisfied
40.75,local_enu,0.0,0.0,0.0,0.0,0.0,-2.0,96.03,RESPONSE_LANDING,SAFE,INFO,CONTINUE,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,All monitored constraints satisfied
41.75,local_enu,0.0,0.0,0.0,0.0,0.0,0.0,96.03,RESPONSE_COMPLETE,SAFE,INFO,CONTINUE,RESPONSE_COMPLETE,NONE,Supervisor response completed,All monitored constraints satisfied
